Timestamp,PredictedEmotion
1707900406.3589697,Neutral
1707900406.4657555,Neutral
1707900407.4934452,Neutral
1707900407.586219,Relaxed
1707900407.6643405,Relaxed
1707900407.7503588,Relaxed
1707900407.8205295,Relaxed
1707900407.8919687,Relaxed
1707900407.9798436,Neutral
1707900408.0687191,Neutral
1707900408.1526458,Neutral
1707900408.2385979,Neutral
1707900408.312619,Broked
1707900408.4017391,Broked
1707900408.4807742,Broked
1707900408.5700574,Broked
1707900408.6486304,Neutral
1707900408.7378297,Neutral
1707900408.812529,Broked
1707900408.9109778,Broked
1707900408.9972258,Broked
1707900409.097312,Broked
1707900409.1864169,Broked
1707900409.2658007,Broked
1707900409.3470285,Broked
1707900409.4382555,Broked
1707900409.5161746,Broked
1707900409.609402,Broked
1707900409.6815877,Broked
1707900409.7643783,Broked
1707900409.8471873,Broked
1707900409.931489,Broked
1707900410.014484,Broked
1707900410.100619,Broked
1707900410.180303,Neutral
1707900410.2650926,Neutral
1707900410.3441558,Neutral
1707900410.414187,Neutral
1707900410.4970226,Neutral
1707900410.5881732,Neutral
1707900410.680625,Neutral
1707900410.7646377,Neutral
1707900410.8448727,Neutral
1707900410.9287598,Neutral
1707900411.009848,Neutral
1707900411.0801735,Neutral
1707900411.1621563,Neutral
1707900411.250014,Neutral
1707900411.3297198,Neutral
1707900411.4129238,Neutral
1707900411.4918594,Neutral
1707900411.5600233,Neutral
1707900411.6300957,Neutral
1707900411.696835,Neutral
1707900411.7895243,Neutral
1707900411.8537695,Neutral
1707900411.9255898,Neutral
1707900411.9948545,Neutral
1707900412.0828393,Neutral
1707900412.1608737,Neutral
1707900412.2296128,Shocked
1707900412.3053324,Shocked
1707900412.3815582,Neutral
1707900412.4630444,Shocked
1707900412.547012,Neutral
1707900412.6293552,Neutral
1707900412.7109976,Neutral
1707900412.794938,Neutral
1707900412.8786035,Neutral
1707900412.9467077,Relaxed
1707900413.028489,Relaxed
1707900413.1127434,Neutral
1707900413.1462913,Broked
1707900413.2132874,Broked
1707900413.2635984,Neutral
